Country/Region,WHO region,WHO region code,Total,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,02/01/2020,02/02/2020,02/03/2020,02/04/2020,02/05/2020,02/06/2020,02/07/2020,02/08/2020,02/09/2020,02/10/2020,02/11/2020,02/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,03/01/2020,03/02/2020,03/03/2020,03/04/2020,03/05/2020,03/06/2020,03/07/2020,03/08/2020,03/09/2020,03/10/2020,03/11/2020,03/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020
Qatar,Eastern Mediterranean Region,2,3874,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7,8,8,8,11,12,15,18,24,262,262,262,337,401,439,442,442,452,460
Jordan,Eastern Mediterranean Region,2,266,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,6,35,35,52,56,69
Morocco,Eastern Mediterranean Region,2,341,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,3,5,6,7,18,28,38,38,49,61,74
Saudi Arabia,Eastern Mediterranean Region,2,1440,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,8,8,7,15,15,20,21,21,62,103,103,133,171,238,238,274
Tunisia,Eastern Mediterranean Region,2,245,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,6,6,7,16,16,18,20,24,29,39,54
Sudan,Eastern Mediterranean Region,2,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
Somalia,Eastern Mediterranean Region,2,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
Djibouti,Eastern Mediterranean Region,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Italy,European Region,3,328668,0,0,0,,,,,,,,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,76,124,229,322,400,650,888,1128,1689,2036,2502,3089,3858,4636,5883,7375,9172,10149,12462,15113,17660,21157,24747,27980,31506,35713,41035,47021
France,European Region,3,72551,0,0,0,,3,3,3,3,4,5,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,18,38,57,100,100,191,212,282,420,613,706,1116,1402,1774,2269,2860,3640,4469,5380,6573,7652,9043,10877,12475
Germany,European Region,3,73125,0,0,0,,,,,1,4,4,5,7,8,10,12,12,12,13,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,21,26,57,57,129,157,196,262,534,639,795,1112,1139,1296,1567,2369,3062,3795,4838,6012,7156,8198,10999,18323
Spain,European Region,3,99032,0,0,0,,,,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12,25,32,45,45,114,151,198,257,374,430,589,1024,1639,2140,2965,4231,5753,7753,9191,11178,13716,17147,19980
United Kingdom,European Region,3,19716,0,0,0,,,,,,,,,2,2,2,2,2,2,3,3,3,4,8,8,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,16,20,23,36,39,51,89,118,167,210,277,323,373,460,594,802,1144,1395,1547,1954,2630,3277,3983
Sweden,European Region,3,11607,0,0,0,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,12,13,14,15,24,35,61,137,161,203,248,326,461,620,775,924,992,1059,1167,1279,1423,1623
Switzerland,European Region,3,24639,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,10,18,26,30,27,56,86,209,264,332,332,491,645,858,1125,1359,2200,2200,2650,3010,3863,4840
Austria,European Region,3,12282,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,5,10,10,18,24,37,47,66,104,112,131,182,302,361,504,800,959,1132,1332,1646,1843,2649
Norway,European Region,3,11837,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,15,19,25,33,56,86,113,147,169,192,277,277,489,750,907,1077,1169,1308,1423,1552,1742
Israel,European Region,3,3130,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,3,5,7,7,10,12,15,15,19,25,39,39,75,75,75,100,178,200,250,304,427,529,712
Croatia,European Region,3,679,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,5,7,7,9,9,9,10,11,11,11,12,16,16,16,27,37,49,56,65,81,81,126
Greece,European Region,3,3307,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,7,7,7,9,32,32,66,73,73,89,98,98,98,228,331,331,387,418,418,495
Finland,European Region,3,2727,0,0,0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,7,7,7,12,19,19,30,40,40,40,109,109,210,267,272,319,359,369,450
Russian Federation,European Region,3,1080,0,0,0,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,7,7,7,7,7,20,34,34,34,63,93,93,147,199,253
Belgium,European Region,3,12210,0,0,0,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,23,50,109,169,200,239,267,314,314,599,689,1085,1085,1486,1486,1795,2257
Denmark,European Region,3,9677,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,5,8,10,18,23,31,36,90,262,615,674,801,827,898,960,977,1044,1132,1255
Estonia,European Region,3,1693,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,3,10,10,10,10,13,13,13,79,79,205,205,225,258,267,283
Georgia,European Region,3,422,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,3,3,3,3,9,9,12,13,15,23,23,25,25,30,33,33,34,38,38,43
North Macedonia,European Region,3,285,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,3,3,3,7,7,7,7,9,13,13,19,31,36,48,70
Romania,European Region,3,1700,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,3,3,3,4,4,6,7,13,15,15,25,48,48,64,123,158,158,184,246,260,308
Belarus,European Region,3,374,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,6,6,6,6,6,6,9,12,12,21,21,36,36,36,46,46,57
Lithuania,European Region,3,221,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,6,9,14,17,25,26,36,69
Netherlands,European Region,3,16111,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7,13,18,28,38,82,128,188,265,321,382,503,614,804,959,1135,1413,1705,2051,2460,2994
San Marino,European Region,3,1224,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,8,8,16,21,24,27,37,49,63,63,63,66,92,92,102,104,109,126,151
Azerbaijan,European Region,3,284,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,9,9,9,9,9,9,11,11,19,19,19,21,34,34,44
Ireland,European Region,3,2685,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,14,18,19,21,24,34,43,70,90,129,169,223,292,292,557,683
Monaco,European Region,3,74,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,9,9,9,9,9,12
Czechia,European Region,3,4006,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,5,12,12,26,32,38,61,94,116,150,214,298,383,434,522,694,904
Iceland,European Region,3,2212,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,16,26,26,45,45,55,55,61,61,61,61,138,138,199,225,250,330,409
Armenia,European Region,3,500,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,8,8,26,52,52,84,122,136
Luxembourg,European Region,3,1429,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,2,5,5,17,17,38,38,38,81,140,210,345,484
Portugal,European Region,3,3932,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,9,13,21,30,30,41,41,41,112,112,245,331,448,642,785,1020
Andorra,European Region,3,236,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,14,16,39,75,75
Latvia,European Region,3,496,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,6,8,16,16,16,30,31,36,60,71,86,111
Poland,European Region,3,1914,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,6,11,16,22,44,49,64,111,150,150,246,287,325,425
Ukraine,European Region,3,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,3,3,3,3,7,14,16,16,26
Slovenia,European Region,3,2187,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,9,12,16,23,31,57,57,141,141,219,253,275,286,319,341
Bosnia and Herzegovina,European Region,3,232,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,4,4,4,11,18,18,19,19,36,44,44
Hungary,European Region,3,482,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,7,9,9,13,13,16,19,32,39,50,50,58,73,85
Serbia,European Region,3,682,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,12,19,19,31,41,46,70,85,96,123,135
Holy See,European Region,3,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Slovakia,European Region,3,723,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,7,7,10,21,30,44,61,72,97,105,123,137
Republic of Moldova,European Region,3,267,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,4,4,8,12,23,29,30,36,49,66
Liechtenstein,European Region,3,122,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,4,4,4,7,7,7,25,25,34
Malta,European Region,3,307,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,6,9,12,12,21,30,38,48,53,64
Albania,European Region,3,465,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,10,10,23,33,38,42,51,55,59,70,70
Cyprus,European Region,3,333,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,6,14,21,33,33,33,58,58,67
Turkey,European Region,3,1163,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,47,47,191,191,670
Kazakhstan,European Region,3,186,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,33,36,46,53
Uzbekistan,European Region,3,94,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,16,16,21,33
Montenegro,European Region,3,28,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,10,14
Kyrgyzstan,European Region,3,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,6
Other,Other,4,24483,0,0,0,,,,,,,,,,,,,,20,61,64,64,70,135,175,174,218,218,355,454,454,542,621,634,634,634,695,691,691,705,705,705,706,706,706,706,706,696,696,696,696,696,696,696,696,697,697,712,712,712,712,712,712
United States of America,Region of the Americas,5,50143,0,0,0,1,2,2,5,5,5,5,6,7,8,11,11,11,12,12,12,12,12,13,13,14,15,15,15,15,15,15,15,15,35,35,35,53,53,59,59,62,62,62,64,108,129,148,213,213,213,472,696,987,1264,1678,1678,1678,3503,3536,7087,10442,15219
Canada,Region of the Americas,5,4693,0,0,0,,,,1,2,3,3,3,4,4,4,4,5,5,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,10,10,11,11,14,19,19,27,30,30,45,51,57,62,77,93,93,138,176,244,304,424,424,569,736,846
Brazil,Region of the Americas,5,2493,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,3,7,13,19,25,25,34,52,77,98,121,200,234,234,291,428,621
Mexico,Region of the Americas,5,715,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,5,5,5,5,5,7,7,7,7,11,12,26,41,53,53,82,93,118,164
Ecuador,Region of the Americas,5,1062,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,7,7,13,14,14,15,15,15,17,17,23,23,37,58,58,155,199,367
Dominican Republic,Region of the Americas,5,212,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,21,21,21,34,72
Argentina,Region of the Americas,5,674,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,9,12,12,17,19,31,34,45,56,65,65,79,97,128
Chile,Region of the Americas,5,1614,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,5,10,13,17,23,33,43,61,75,156,156,238,342,434
Colombia,Region of the Americas,5,527,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,9,9,16,24,24,45,45,93,108,145
Peru,Region of the Americas,5,999,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,9,11,17,22,28,43,71,86,86,145,234,234
Costa Rica,Region of the Americas,5,472,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,9,13,13,22,23,23,23,41,41,50,87,113
Paraguay,Region of the Americas,5,90,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,6,6,8,9,9,11,11,13
Panama,Region of the Americas,5,600,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,10,14,27,27,43,69,69,86,109,137
Bolivia,Region of the Americas,5,89,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,3,11,11,11,12,15,16
Jamaica,Region of the Americas,5,94,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,8,10,10,12,13,15,16
Honduras,Region of the Americas,5,71,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,8,8,9,12,24
Cuba,Region of the Americas,5,62,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,5,5,10,11,16
Guyana,Region of the Americas,5,34,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,4,4,4,4,5,5
Saint Vincent and the Grenadines,Region of the Americas,5,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Venezuela,Region of the Americas,5,180,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,33,33,36,36,36
